_id,results,sentiment
6328d1c2c406f1fba4cc9ff5,sommer veröffentlicht die britisch zeitung sun ein sekunden video da die welt schockiert die jung queen mum gattin von könig georg übte anfang der jahr mit ihren töchtern elizabeth und margaret den hitlergruß,0
6328d1c3c406f1fba4cc9ff6,queen elizabeth seem endur curio qualiti admir,0
6328d1c3c406f1fba4cc9ff7,wonder view confer thank world wide colleagu respect condol today queen elizabeth buri riep fdiworlddent thank thebda,0
6328d1c3c406f1fba4cc9ff8,thread contain spoiler mysteri ramsey freed daughter give siren queen deserv pirat lord teleport lesedi orca back tavern lesedi let sigh ramsey remain somber orca tear,0
6328d1c4c406f1fba4cc9ff9,princess charlott first ever brooch tribut queen elizabeth popsugar,1
6328d1c4c406f1fba4cc9ffa,abc diet tracker,0
6328d1c4c406f1fba4cc9ffb,presid droupadi murmu depart london attend queen funer via the_newsmil,0
6328d1c4c406f1fba4cc9ffc,rip former first class cricket jaswant bakrania pas away,1
6328d1c5c406f1fba4cc9ffd,queen elizabeth laid rest windsor castl,0
6328d1c5c406f1fba4cc9ffe,saudi arabia moham bin salman miss queen elizabeth funer right group critic invit mb involv murder critic journalist jamal khashoggi mkhashoggi saudiarabia mb mohammedbinsalman,1
6328d1c5c406f1fba4cc9fff,biden play tongu ceremoni late queen elizabeth,0
6328d1c6c406f1fba4cca000,thousand line rout windsor castl watch queen journey final rest place crowd fell silent along long walk process went past adavi report,0
6328d1c6c406f1fba4cca001,morn holli phil vip access queen coffin would expect schofield itv itvnew greatmorningbritain peston gmb bbcnew skynew gbnew bbcbreakfast,0
6328d1c7c406f1fba4cca002,canadian share memori meet queen elizabeth via youtub,0
6328d1c7c406f1fba4cca003,royal famili attend privat burial servic nation bid farewel use opinionate_app rate articl independ,0
6328d1c8c406f1fba4cca004,pakistan action today england new cricket jersey nation stadium karachi,1
6328d1c8c406f1fba4cca005,low cost diy murphi wall bed frame woodwork plan king queen full twin includ avwb bqfvinn,1
6328d1c9c406f1fba4cca006,queen bibl new tyndal version new testament linzey verna book,1
6328d1c9c406f1fba4cca007,make sad harri queen mother figur life tell harri especi love granni much,1
6328d1cac406f1fba4cca008,kid said want bake cake told alway get want long stori short bake british school cake,0
6328d1cac406f1fba4cca009,good see cnew lead nation medium convers rest nation clamour royalfamili nuff chanc confront legacyofempir junctur nation well said sathnam sanghera,1
6328d1cac406f1fba4cca00a,mariska queen let know serv absolut glow gorgeous look red carpet everyth mariskahargitay lawandorderpremier svu,1
6328d1cac406f1fba4cca00b,live nsw face mask longer mandatori taxi rideshar servic tomorrow,1
6328d1cbc406f1fba4cca00c,sur radio poprock est parisien vou écoutez philipp british connect mainten direct nowplay webradio music musiqu hit pop rock funk rap rapu cultur citoyen associ,1
6328d1cbc406f1fba4cca00d,awa akeyi matanga queen bozui nini oppos petepet,0
6328d1cbc406f1fba4cca00e,well one hell funer rip queen elizabeth,0
6328d1ccc406f1fba4cca00f,queen histor love hors sport hors ride pas year old well,1
6328d1ccc406f1fba4cca010,queen elizabeth mourn britain world funer,0
6328d1ccc406f1fba4cca011,nippl top queen hurst morn,1
6328d1ccc406f1fba4cca012,poignant moment emma queen fell poni appear lift hoof funer process pas queen headscarf tie saddl,0
6328d1cdc406f1fba4cca013,queen hottest welly ignit bra نمشي نون فوغا فوقا كلوسيت ستاےلے _______________ abc نمشي abc ستايلي فوغا duu نون,0
6328d1cdc406f1fba4cca014,hbd nami amuro queen hip pop pop,0
6328d1cdc406f1fba4cca015,fanni throb mafsuk show commerci mark respect queen come etweet,0
6328d1cec406f1fba4cca016,look older sketch idea still think like come back bruh meet queen storm giant,1
6328d1cec406f1fba4cca017,,0
6328d1cec406f1fba4cca018,princess ann femal royal famili member walk queen elizabeth funer process peopl,0
6328d1cfc406f1fba4cca019,best path african fear imagn wangekosa kuenda mazishi queen elizabeth ingefanyika,1
6328d1cfc406f1fba4cca01a,dinner tonight pari brit tabl french fellow diner led toast late queen anoth king warm word said franc french realli best best stay forev could,1
6328d1d0c406f1fba4cca01b,,0
6328d1d0c406f1fba4cca01c,queen elizabeth mourn britain world funer,0
6328d1d1c406f1fba4cca01d,queen funer princ harri princ andrew salut queen coffin,0
6328d1d1c406f1fba4cca01e,everyon care queen royal chose simpli say anyth neg let other get thank respect,0
6328d1d1c406f1fba4cca01f,send love univers queensfuner bbnajia asuustrikeupd queenelizabethii cryptocrash phyna𓃵 daniellapeters𓃵 queenelizabeth chandigarhunivers earthquak mynameisnanon mha ukrainian ukrainian yargi xrp wyat viral queen pinkvenom,1
6328d1d2c406f1fba4cca020,brit brit tabloid question charl stamen king look distraught exhaust queen elizabeth funer,0
6328d1d2c406f1fba4cca021,autónomo está pensando dart alta como trabajador autónomo ten cuenta esta información autónomo gestoríacabello gestiónintegr labor contabl jurídico empresa confianza calidad profesionalidad pila,0
6328d1d2c406f1fba4cca022,antigua barbuda bid farewel queen elizabeth monday servic impos cathedr fear symbol england power former coloni caribbean,0
6328d1d3c406f1fba4cca023,end incred unforgett emot day final toast majesti queen proud everyon involv day particularli arm forc polic rest peac queenelizabethii queensfuner,1
6328d1d3c406f1fba4cca024,bbnaija let vote queen,0
6328d1d3c406f1fba4cca025,satellit imag show thousand gather london queenelizabethiifuner via nbcnew,0
6328d1d3c406f1fba4cca026,,0
6328d1d4c406f1fba4cca027,kate middleton focu attent kate wear time jewelleri kate queen mayb kate give titl princessofwal becom fashion model abolishabolishthemonarchi queensfuner,0
6328d1d4c406f1fba4cca028,devon legion ceremoni queen elizabeth,0
6328d1d5c406f1fba4cca029,imag taken outsid buckingham palac eve queen funer heard deep faith mayb true,1
6328d1d5c406f1fba4cca02a,big ben toll everi minut minut symbol queen life,0
6328d1d5c406f1fba4cca02b,sit behind king england snub smh princ harri meghan snub seat queen funer,0
6328d1d5c406f1fba4cca02c,queen conqueror visenya targaryen,0
6328d1d6c406f1fba4cca02d,love send queen twitter gay pallbear throw shoulder day,1
6328d1d6c406f1fba4cca02e,hope pallbear today read lad impecc job today belov queen deserv absolut best carri etern rest certainli got countri proud today alway,1
6328d1d6c406f1fba4cca02f,bonjour ami twitto besoin votr aid soutien suit nombreus difficulté euro par personn suffis leetchi paypal avanc merci aid earthquak needhelp pult solidarité queen kingcharlesiii,0
6328d1d7c406f1fba4cca030,one one prime minist trudeau queen elizabeth presenc felt decad,0
6328d1d7c406f1fba4cca031,industri rustic medium grey bedspread handmad natur linen grey linen bed cover grey bed bedspread queen bed lbnevz,0
6328d1d7c406f1fba4cca032,dormous queen ad one gryphon pool,0
6328d1d7c406f1fba4cca033,blue tick stripe duvet cover natur linen tick stripe bed custom bed linen bed queen duvet cover catav,0
6328d1d8c406f1fba4cca034,talk like pirat day queen recept,0
6328d1d8c406f1fba4cca035,want post gigl gnf listen british rap twitter wontlet send,0
6328d1d8c406f1fba4cca036,indian forestri provid wood cask use british indian breweri indian lager histori impact question histori provid idea modern craft brewer see new post ipa lager bier craftbeerhour,1
6328d1d9c406f1fba4cca037,hohoho even parad strike bowl queen,0
6328d1d9c406f1fba4cca038,,0
6328d1d9c406f1fba4cca039,lala statement woman cricket correct safridioffici gamechang,0
6328d1d9c406f1fba4cca03a,inappropri behaviour amp disrespect whoever thought sing queen bohemian rhapsodi show respect idiot trudeau seen sing renown quebec musician day queen funer nation trudeaumustgo,0
6328d1dac406f1fba4cca03b,today liter full day front know ever happen rip queen,1
6328d1dac406f1fba4cca03c,see queen thursday wastedheartmuk readi,0
6328d1dac406f1fba4cca03d,would realli stand line hour see queen ye would stand line hour see gowon,0
6328d1dbc406f1fba4cca03e,gym close today suppos mourn queen without deadlift total trudeaumustgo,0
6328d1dbc406f1fba4cca03f,queen buri alongsid late husband windsor castl privat servic,0
6328d1dcc406f1fba4cca040,behalf african caribbean citizen send presid attend queen funer,0
6328d1dcc406f1fba4cca041,queen inspir devot respect love never deliber sought rhiannon mill news,1
6328d1ddc406f1fba4cca042,lol main listen first taric queen antonio variaçõ ivern marvin gay bob marley pyke ozzi osbuern sex pistol nunu mamona assasina udyr ram jam,1
